Protein_ID	Gene_Name
A0JLY1	Ccdc173
A1L314	Mpeg1
A2A432	Cul4b
A2A4P0	Dhx8
A2A5R2	Arfgef2
A2A5Z6	Smurf2
A2A690	Tanc2
A2A6A1	Gpatch8
A2A6Q5	Cdc27
A2A863	Itgb4
A2A8L5	Ptprf
A2A8U2	Tmem201
A2A8Z1	Osbpl9
A2A9C3	Szt2
A2AAE1	Kiaa1109
A2AAY5	Sh3pxd2b
A2AB59	Arhgap27
A2ABV5	Med14
A2AC93	Dnai2
A2ACP1	Ttc39a
A2ADA5	Pusl1
A2ADY9	Ddi2
A2AF47	Dock11
A2AFS3	Kiaa1324
A2AGH6	Med12
A2AGT5	Ckap5
A2AI08	Tprn
A2AIG8	Accs
A2AIV2	Kiaa1429
A2AJ15	Man1b1
A2AJ88	Pnpla7
A2AJI0	Map7d1
A2AJL3	Fggy
A2AJQ3	Dpy19l4
A2AKB4	Frmpd1
A2AKG8	Focad
A2AKX3	Setx
A2ALK8	Ptpn3
A2ALS5	Rap1gap
A2ALU4	Shroom2
A2ALW5	Dnajc25
A2AMZ4	
A2AN08	Ubr4
A2APV2	Fmnl2
A2APY7	Ndufaf5
A2AQ07	Tubb1
A2AQ19	Rtf1
A2AQ25	Skt
A2AR02	Ppig
A2ARA8	Itga8
A2ARS0	Ankrd63
A2ARV4	Lrp2
A2ASQ1	Agrn
A2ASS6	Ttn
A2AVA0	Svep1
A2AVZ9	Slc43a3
A2AWA9	Rabgap1
A2AWP8	Arhgef10l
A2AX52	Col6a4
A2BDX3	Mocs3
A2BE28	Las1l
A2BH40	Arid1a
A2BIM8	Mup9
A2CG49	Kalrn
A2RSJ4	Uhrf1bp1l
A2RSQ0	Dennd5b
A2RSY1	Kansl3
A2RSY6	Trmt1l
A2RT67	Dennd3
A3KGB4	Tbc1d8b
A3KGF7	Plcb2
A3KGF9	
A3KGS3	Ralgapa2
A3KMP2	Ttc38
A6H5X4	Phf11
A6H5Y3	Mtr
A6H5Z3	Exoc6b
A6H611	Mipep
A6H619	Phrf1
A6H630	
A6H6A9	Rabgap1l
A6H6E2	Mmrn2
A6H8H2	Dennd4c
A6X8Z5	Arhgap31
A6X919	Dpy19l1
A6X935	Itih4
A8C756	Thada
A8Y5H7	Sec14l1
B1AR13	Cisd3
B1AUE5	Pex10
B1AVD1	Xpnpep2
B1AVH7	Tbc1d2
B1AVY7	Kif16b
B1AVZ0	Uprt
B1AX39	Zcchc7
B1AXP6	Tomm5
B1AY13	Usp24
B1AZA5	Tmem245
B1AZI6	Thoc2
B1AZP2	Dlgap4
B2RPV6	Mmrn1
B2RQC6	Cad
B2RQE8	Arhgap42
B2RR83	Ythdc2
B2RRE7	Otud4
B2RRF6	Znf518a
B2RSH2	Gnai1
B2RU80	Ptprb
B2RUJ5	Apba1
B2RUP2	Unc13d
B2RUR8	Otud7b
B2RVL6	Zcchc24
B2RW38	Ccdc147
B2RWS6	Ep300
B2RX12	Abcc3
B2RXC1	Trappc11
B2RXR6	Ankrd44
B2RXS4	Plxnb2
B2RY04	Dock5
B2RY50	Armc4
B2RY56	Rbm25
B7ZMP1	Xpnpep3
B8JK39	Itga9
B8ZXI1	Qtrtd1
B9EJ80	Pdzd8
B9EJ86	Osbpl8
B9EJR8	Heatr2
B9EKI3	Tmf1
C0HK80	
C0HKD9	
C0HKG6	
D0QMC3	Mndal
D3YVF0	Akap5
D3YXG0	Hmcn1
D3YXK2	Safb
D3YZP9	Ccdc6
D3Z2R5	Sepn1
D3Z4S3	Ptrhd1
D3Z6Q9	Bin2
D3Z7P3	Gls
E1U8D0	Soga1
E2JF22	Piezo1
E9PV24	Fga
E9PVA8	Gcn1l1
E9PVB5	Ttc17
E9PY46	Ift140
E9PYY5	Wdr78
E9PZJ8	Ascc3
E9PZM4	Chd2
E9Q1P8	Irf2bp2
E9Q394	Akap13
E9Q3C1	C2cd2
E9Q3L2	Pi4ka
E9Q401	Ryr2
E9Q414	Apob
E9Q4F7	Ankrd11
E9Q4N7	Arid1b
E9Q4S1	Pde8b
E9Q555	Rnf213
E9Q557	Dsp
E9Q5C9	Nolc1
E9Q5F9	Setd2
E9Q5K9	Ythdc1
E9Q612	Ptpro
E9Q634	Myo1e
E9Q6J5	Bod1l
E9Q6P5	Ttc7b
E9Q735	Ube4a
E9Q743	Wdr66
E9Q7D5	Arhgef5
E9Q7E2	Arid2
E9Q7G0	Numa1
E9Q7X6	Heg1
E9Q8D0	Dnajc21
E9Q8I9	Fry
E9Q9D5	Rabl2
E9Q9R9	Dlg5
E9QAM5	Helz2
F6ZDS4	Tpr
F7BWT7	Tspan15
F8VPU2	Farp1
F8VQB6	Myo10
G3X982	Aox3
G3X9C2	Nccrp1
G3X9J0	Sipa1l3
G3X9K3	Arfgef1
G5E829	Atp2b1
G5E870	Trip12
G5E8K5	Ank3
G5E8Q8	Gpr116
O08528	Hk2
O08529	Capn2
O08530	S1pr1
O08532	Cacna2d1
O08538	Angpt1
O08539	Bin1
O08547	Sec22b
O08553	Dpysl2
O08573	Lgals9
O08579	Emd
O08582	Gtpbp1
O08583	Alyref
O08585	Clta
O08586	Pten
O08599	Stxbp1
O08600	Endog
O08601	Mttp
O08605	Mknk1
O08638	Myh11
O08648	Map3k4
O08663	Metap2
O08664	Bcl7c
O08677	Kng1
O08688	Capn5
O08691	Arg2
O08692	Ngp
