Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Q-value	Score	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity not corrected 0	Reporter intensity not corrected 1	Reporter intensity not corrected 2	Reporter intensity not corrected 3	Reporter intensity not corrected 4	Reporter intensity not corrected 5	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Intensity	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Acetyl (K) site IDs	Deamidation (NQ) site IDs	Oxidation (M) site IDs	Acetyl (K) site positions	Deamidation (NQ) site positions	Oxidation (M) site positions
A1L3T7	A1L3T7	1	1	1	Protein FAM65C	Fam65c	>A1L3T7 RIPOR family member 3 OS=Mus musculus OX=10090 GN=Ripor3 PE=1 SV=1	1	1	1	1	1.5	1.5	1.5	104.16	938	938	3			1		0.0016155	6.2068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	1773	True	1930	2815	2908	2908	0	141		62	72	
Q3TCH7;A2A432	Q3TCH7;A2A432	1;1	1;1	1;1	Cullin-4A;Cullin-4B	Cul4a;Cul4b	>Q3TCH7 Cullin-4A OS=Mus musculus OX=10090 GN=Cul4a PE=1 SV=1;>A2A432 Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1	2	1	1	1	1.3	1.3	1.3	87.752	759	759;970	4				1	0	6.8116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	3135	True	3443	4970	5111	5111	1			561		
A2A6A1	A2A6A1	1	1	1	G patch domain-containing protein 8	Gpatch8	>A2A6A1 G patch domain-containing protein 8 OS=Mus musculus OX=10090 GN=Gpatch8 PE=1 SV=1	1	1	1	1	1.1	1.1	1.1	164.99	1505	1505	4				1	0	11.392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	597	True	649	943	973	973	2			479		
A2AC93	A2AC93	1	1	1	Dynein intermediate chain 2, axonemal	Dnai2	>A2AC93 Dynein intermediate chain 2, axonemal OS=Mus musculus OX=10090 GN=Dnai2 PE=1 SV=2	1	1	1	1	1.3	1.3	1.3	70.967	623	623	3			1		0.0088384	5.5389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	2807	True	3072	4436	4566	4566	3			508		
A2AGH6	A2AGH6	1	1	1	Mediator of RNA polymerase II transcription subunit 12	Med12	>A2AGH6 Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus OX=10090 GN=Med12 PE=1 SV=1	1	1	1	1	0.7	0.7	0.7	244.56	2190	2190	2.5	1			1	0	14.824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4	3024	True	3319	4776;4777	4914;4915	4915	4		0	1800		1806
A2AJT4	A2AJT4	1	1	1	Arginine/serine-rich protein PNISR	Pnisr	>A2AJT4 Arginine/serine-rich protein PNISR OS=Mus musculus OX=10090 GN=Pnisr PE=1 SV=1	1	1	1	1	1.4	1.4	1.4	92.114	805	805	1	1				0.0030098	5.9808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				5	2715	True	2966	4276	4402	4402	5	142;143		445	446;447	
A2AM29	A2AM29	1	1	1	Protein AF-9	Mllt3	>A2AM29 Protein AF-9 OS=Mus musculus OX=10090 GN=Mllt3 PE=1 SV=1	1	1	1	1	1.2	1.2	1.2	63.375	569	569	2.33		2	1		0.0030675	6.0322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				6	2389	True	2582;2583	3737;3738;3739	3857;3858;3859	3859	6		1	254		251
A2AN08	A2AN08	2	2	2	E3 ubiquitin-protein ligase UBR4	Ubr4	>A2AN08 E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1	1	2	2	2	0.3	0.3	0.3	572.28	5180	5180	2		2			0	12.834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				7	2189;3013	True;True	2373;3308	3457;4762	3566;4900	3566;4900	7;8			2633;4086		
A2ASQ1	A2ASQ1	1	1	1	Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment	Agrn	>A2ASQ1 Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1	1	1	1	1	0.4	0.4	0.4	207.54	1950	1950	4				1	1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			8	1191	True	1289	1889	1951	1951	9			278		
A2ASS6	A2ASS6	3	3	3	Titin	Ttn	>A2ASS6 Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1	1	3	3	3	0.1	0.1	0.1	3906.4	35213	35213	2.25	2		1	1	0	18.825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				9	527;2314;3467	True;True;True	572;2502;3798	833;3622;5451;5452	862;3733;5599;5600	862;3733;5599	10;11;12		2	14763;17696;22607		17698
